date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-06-15,yes24,general_best,1,슈퍼개미 이정윤의 성장주 집중 투자,이정윤 저,베가북스,,10.0,,191535368,https://www.yes24.com/product/goods/191535368
2026-06-15,yes24,general_best,2,나의 첫 번째 부동산 교과서,송희구 저,서삼독,,9.1,,190813759,https://www.yes24.com/product/goods/190813759
2026-06-15,yes24,general_best,3,내면 근력,짐 머피 저/ 지여울 역,윌북(willbook),,9.6,,183809488,https://www.yes24.com/product/goods/183809488
2026-06-15,yes24,general_best,4,이병한의 대한민국 탐문,이병한 저,서해문집,,8.7,,191018389,https://www.yes24.com/product/goods/191018389
2026-06-15,yes24,general_best,5,안녕이라 그랬어,김애란 저,문학동네,,9.6,,147560984,https://www.yes24.com/product/goods/147560984
2026-06-15,yes24,general_best,6,사춘기 엄마의 오장육부,나민애 저,서교책방,,9.9,,186676818,https://www.yes24.com/product/goods/186676818
2026-06-15,yes24,general_best,7,품격 있는 대화를 위한 지식 브리핑,김진 저,북플레저,,8.0,,189116661,https://www.yes24.com/product/goods/189116661
2026-06-15,yes24,general_best,8,니체의 초월자,프리드리히 니체 저/ 김철 편역,히읏,,9.7,,161401496,https://www.yes24.com/product/goods/161401496
2026-06-15,yes24,general_best,9,프로젝트 헤일메리,앤디 위어 저/ 강동혁 역,알에이치코리아(RHK),,9.7,,101375755,https://www.yes24.com/product/goods/101375755
2026-06-15,yes24,general_best,10,싯다르타,헤르만 헤세 저/ 박병덕 역,민음사,,9.5,,257435,https://www.yes24.com/product/goods/257435
2026-06-15,yes24,general_best,11,장송의 프리렌 15 한정판,야마다 카네히토 원저/ 아베 츠카사 글그림,학산문화사,,15,,191699918,https://www.yes24.com/product/goods/191699918
2026-06-15,yes24,general_best,12,부의 갈림길,오건영 저,포레스트북스,,9.5,,190811719,https://www.yes24.com/product/goods/190811719
2026-06-15,yes24,general_best,13,말하지 않고 말하기,김정운 저,21세기북스,,9.9,,188859332,https://www.yes24.com/product/goods/188859332
2026-06-15,yes24,general_best,14,박곰희 연금 부자 수업,박곰희 저,인플루엔셜,,9.7,,148032819,https://www.yes24.com/product/goods/148032819
2026-06-15,yes24,general_best,15,슈퍼 뒤에서 담배 피우는 두 사람 8 특별판,지누시 글그림/ 김성래 역,디앤씨미디어(D&C미디어),,23,,191817199,https://www.yes24.com/product/goods/191817199
2026-06-15,yes24,general_best,16,최소한의 세계사,이다지 저,프런트페이지,,9.9,,189245464,https://www.yes24.com/product/goods/189245464
2026-06-15,yes24,general_best,17,다시 만난 세계,김희교 저,푸른숲,,4.5,,190399063,https://www.yes24.com/product/goods/190399063
2026-06-15,yes24,general_best,18,김미경의 플러스 휴먼,김미경 저,어웨이크(AWAKE),,9.7,,189589723,https://www.yes24.com/product/goods/189589723
2026-06-15,yes24,general_best,19,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북,,9.8,,167466420,https://www.yes24.com/product/goods/167466420
2026-06-15,yes24,general_best,20,모순,양귀자 저,쓰다,,9.6,,8759796,https://www.yes24.com/product/goods/8759796
2026-06-15,yes24,general_best,21,인생을 위한 최소한의 생각,"신영준 , 고영성 저",상상스퀘어,,9.4,,177044720,https://www.yes24.com/product/goods/177044720
2026-06-15,yes24,general_best,22,[그래제본소] 브로콜리지만 사랑받고 싶어: 두 번째 이야기,달다름 글/ 서영 그림,키다리,,13,,190211075,https://www.yes24.com/product/goods/190211075
2026-06-15,yes24,general_best,23,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS 저,YBM(와이비엠),,9.8,,168776448,https://www.yes24.com/product/goods/168776448
2026-06-15,yes24,general_best,24,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS 저,YBM(와이비엠),,9.9,,168776455,https://www.yes24.com/product/goods/168776455
2026-06-15,yes24,general_best,25,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북,,9.9,,167466432,https://www.yes24.com/product/goods/167466432
2026-06-15,yes24,general_best,26,주식 투자를 잘한다는 것,육과장 저,노티스,,9.8,,184337755,https://www.yes24.com/product/goods/184337755
2026-06-15,yes24,general_best,27,정승제의 수학 대모험 3,"조영선 , 설민석 글/ 재담웹툰랩 그림/ 정승제 감수",단꿈아이,,9.9,,190805345,https://www.yes24.com/product/goods/190805345
2026-06-15,yes24,general_best,28,위버멘쉬,프리드리히 니체 저,떠오름,,9.1,,142972546,https://www.yes24.com/product/goods/142972546
2026-06-15,yes24,general_best,29,고양이 해결사 깜냥 9,홍민정 글/ 김재희 그림,창비,,9.6,,189403001,https://www.yes24.com/product/goods/189403001
2026-06-15,yes24,general_best,30,수족관,유래혁 저,포스터샵,,9.3,,124235834,https://www.yes24.com/product/goods/124235834
2026-06-15,yes24,general_best,31,완벽한 원시인,자청 저,필로틱,,9.3,,180137091,https://www.yes24.com/product/goods/180137091
2026-06-15,yes24,general_best,32,코스모스,칼 에드워드 세이건 저/ 홍승수 역,사이언스북스,,9.6,,2312211,https://www.yes24.com/product/goods/2312211
2026-06-15,yes24,general_best,33,너를 아끼며 살아라,나태주 저,더블북,,9.8,,147276346,https://www.yes24.com/product/goods/147276346
2026-06-15,yes24,general_best,34,2026 심우철 실전 동형 모의고사 Season 4,심우철 저,공단기(에스티유니타스),,10.0,,189115175,https://www.yes24.com/product/goods/189115175
2026-06-15,yes24,general_best,35,괴테는 모든 것을 말했다,스즈키 유이 저/ 이지수 역,리프,,8.8,,164510819,https://www.yes24.com/product/goods/164510819
2026-06-15,yes24,general_best,36,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절 저/ 이지연 역,인플루엔셜,,9.4,,172574653,https://www.yes24.com/product/goods/172574653
2026-06-15,yes24,general_best,37,이병한의 아메리카 탐문,이병한 저,서해문집,,8.9,,147625638,https://www.yes24.com/product/goods/147625638
2026-06-15,yes24,general_best,38,괴수 8호 RELAX 4,마츠모토 나오야 원저/ 와타나베 키주쿠 글그림/ 유유리 역,서울미디어코믹스(서울문화사),,10.0,,191532445,https://www.yes24.com/product/goods/191532445
2026-06-15,yes24,general_best,39,내 마음의 위험한 녀석 13,사쿠라이 노리오 글그림/ 조원로 역,소미미디어,,10.0,,190215379,https://www.yes24.com/product/goods/190215379
2026-06-15,yes24,general_best,40,자몽살구클럽,한로로 저,어센틱,,9.1,,149385533,https://www.yes24.com/product/goods/149385533
2026-06-15,yes24,general_best,41,흔한남매 22,흔한남매 원저/ 백난도 글/ 유난희 그림/ 흔한컴퍼니 감수,미래엔아이세움,,9.6,,187927810,https://www.yes24.com/product/goods/187927810
2026-06-15,yes24,general_best,42,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북,,9.9,,168393009,https://www.yes24.com/product/goods/168393009
2026-06-15,yes24,general_best,43,이병한의 테크노-차이나 탐문,이병한 저,서해문집,,9.3,,162000217,https://www.yes24.com/product/goods/162000217
2026-06-15,yes24,general_best,44,멜로우TV 팀나빠 1,멜로우 TV 원저/ 안경순 글/ 쓰리포 그림,학산키즈,,9.8,,190215201,https://www.yes24.com/product/goods/190215201
2026-06-15,yes24,general_best,45,생존 지능,로이드 블랭크파인 저/ 박선영 역,필름,,8.9,,190815856,https://www.yes24.com/product/goods/190815856
2026-06-15,yes24,general_best,46,2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,문동균 편저,공단기(에스티유니타스),,9.8,,183236827,https://www.yes24.com/product/goods/183236827
2026-06-15,yes24,general_best,47,무례한 세상에서 나를 지키는 법,발타자르 그라시안 저/ 하와이 대저택 편저,논픽션,,8.9,,182422429,https://www.yes24.com/product/goods/182422429
2026-06-15,yes24,general_best,48,2026 써니 행정법총론 봉투모의고사,박준철 편저,제이씨에듀,,9.8,,184402021,https://www.yes24.com/product/goods/184402021
2026-06-15,yes24,general_best,49,이향인,라미 카민스키 저/ 최지숙 역,21세기북스,,9.7,,182009922,https://www.yes24.com/product/goods/182009922
2026-06-15,yes24,general_best,50,어른의 행복은 조용하다,태수 저,페이지2북스,,9.5,,136298166,https://www.yes24.com/product/goods/136298166
2026-06-15,yes24,general_best,51,소설 장송의 프리렌 -전주- 2,하치모쿠 메이 저/ 야마다 카네히토 원저/ 아베 츠카사 그림,학산문화사(단행본),,7,,191699932,https://www.yes24.com/product/goods/191699932
2026-06-15,yes24,general_best,52,혼모노 (리커버),성해나 저,창비,,9.2,,143911524,https://www.yes24.com/product/goods/143911524
2026-06-15,yes24,general_best,53,데미안,헤르만 헤세 저/ 전영애 역,민음사,,9.3,,176787,https://www.yes24.com/product/goods/176787
2026-06-15,yes24,general_best,54,리치먼드힐의 이층 버스,이경진 저,북플레저,,9.9,,190215128,https://www.yes24.com/product/goods/190215128
2026-06-15,yes24,general_best,55,백지 앞에서,최은영 저,문학동네,,9.6,,188010439,https://www.yes24.com/product/goods/188010439
2026-06-15,yes24,general_best,56,주식투자 무작정 따라하기,윤재수 저,길벗,,9.7,,175467785,https://www.yes24.com/product/goods/175467785
2026-06-15,yes24,general_best,57,멜로우 TV 아이돌 시사상식 데뷔 챌린지 ２,"멜로우 TV 원저/ 남지은 글/ 쓰리포 , 해얌 그림/ 표수현 감수",학산키즈,,13,,191502410,https://www.yes24.com/product/goods/191502410
2026-06-15,yes24,general_best,58,세상이 그대를 속일지라도,김상욱 저,동아시아,,10.0,,190424644,https://www.yes24.com/product/goods/190424644
2026-06-15,yes24,general_best,59,내 몸을 바꾸는 집밥테라피,"박용우 , 김영아 저",루미너스,,9.9,,189497782,https://www.yes24.com/product/goods/189497782
2026-06-15,yes24,general_best,60,구멍청,백희나 글그림,스토리보울,,9.3,,188721090,https://www.yes24.com/product/goods/188721090
2026-06-15,yes24,general_best,61,휴민트 각본집,류승완 저,무제,,29,,191855204,https://www.yes24.com/product/goods/191855204
2026-06-15,yes24,general_best,62,제미나이 주식투자,조성호 저,길벗,,9.7,,184276313,https://www.yes24.com/product/goods/184276313
2026-06-15,yes24,general_best,63,만화로 보는 5분 한국사,유요 글/ 미정 그림/ 신병주 감수,빅피시,,9.8,,189118620,https://www.yes24.com/product/goods/189118620
2026-06-15,yes24,general_best,64,다크 심리학,다크 사이드 프로젝트 저,어센딩,,9.1,,149658696,https://www.yes24.com/product/goods/149658696
2026-06-15,yes24,general_best,65,최소한의 한국사,최태성 저,프런트페이지,,9.8,,119458052,https://www.yes24.com/product/goods/119458052
2026-06-15,yes24,general_best,66,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소,,9.6,,67362730,https://www.yes24.com/product/goods/67362730
2026-06-15,yes24,general_best,67,나에게는 새의 말이 들린다,스즈키 도시타카 저/ 김소연 역,오팬하우스,,9.9,,190212424,https://www.yes24.com/product/goods/190212424
2026-06-15,yes24,general_best,68,설민석의 한국사 대모험 37,"설민석 , 남이담 글/ 정현희 그림/ 강석화 감수",단꿈아이,,9.9,,189850868,https://www.yes24.com/product/goods/189850868
2026-06-15,yes24,general_best,69,마음의 주인은 언제나 나야,손원우 글/ 김서희 그림,페이지2북스,,9.9,,180953250,https://www.yes24.com/product/goods/180953250
2026-06-15,yes24,general_best,70,순례 주택,유은실 저,비룡소,,9.7,,97963475,https://www.yes24.com/product/goods/97963475
2026-06-15,yes24,general_best,71,엄마의 마음,김종원 저,퍼스트펭귄,,10.0,,189629407,https://www.yes24.com/product/goods/189629407
2026-06-15,yes24,general_best,72,우월한 열등감,알프레드 아들러 저/ 김경일 역,저녁달,,9.9,,186887775,https://www.yes24.com/product/goods/186887775
2026-06-15,yes24,general_best,73,"엔비디아 젠슨 황, 생각하는 기계",스티븐 위트 저/ 백우진 역,알에이치코리아(RHK),,9.5,,146344342,https://www.yes24.com/product/goods/146344342
2026-06-15,yes24,general_best,74,아코디언,천명관 저,창비,,10.0,,191838559,https://www.yes24.com/product/goods/191838559
2026-06-15,yes24,general_best,75,긴긴밤,루리 글그림,문학동네,,9.8,,97255028,https://www.yes24.com/product/goods/97255028
