date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-07-19,yes24,ebook_best,1,부의 갈림길,오건영 저,포레스트북스,,9.8,,192552274,https://www.yes24.com/product/goods/192552274
2026-07-19,yes24,ebook_best,2,니체의 초월자,프리드리히 니체 저/ 김철 편역,히읏,,9.7,,177150859,https://www.yes24.com/product/goods/177150859
2026-07-19,yes24,ebook_best,3,코스모스,칼 에드워드 세이건 저,사이언스북스,,9.6,,38003831,https://www.yes24.com/product/goods/38003831
2026-07-19,yes24,ebook_best,4,법학적성시험 문제 해설: LEET 추리논증 (2026학년도),법학전문대학원협의회 편,에피스테메,,10.0,,167801531,https://www.yes24.com/product/goods/167801531
2026-07-19,yes24,ebook_best,5,싯다르타 - 세계문학전집 58,헤르만 헤세 저,민음사,,9.5,,11932323,https://www.yes24.com/product/goods/11932323
2026-07-19,yes24,ebook_best,6,이지패스 2026 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문 , 박현민 저",위키북스,,9.9,,168559417,https://www.yes24.com/product/goods/168559417
2026-07-19,yes24,ebook_best,7,2026 고시넷 현대자동차 생산직 온라인 인적성검사 최신기출유형 모의고사,고시넷 인적성 연구소 편저,고시넷,,10.0,,192729785,https://www.yes24.com/product/goods/192729785
2026-07-19,yes24,ebook_best,8,안녕이라 그랬어,김애란 저,문학동네,,9.6,,147709913,https://www.yes24.com/product/goods/147709913
2026-07-19,yes24,ebook_best,9,생각에 관한 생각,대니얼 카너먼 저/ 이창신 역,김영사,,9.3,,125295059,https://www.yes24.com/product/goods/125295059
2026-07-19,yes24,ebook_best,10,프로젝트 헤일메리,앤디 위어 저/ 강동혁 역,알에이치코리아(RHK),,9.7,,101619655,https://www.yes24.com/product/goods/101619655
2026-07-19,yes24,ebook_best,11,절창 切創,구병모 저,문학동네,,9.1,,154212704,https://www.yes24.com/product/goods/154212704
2026-07-19,yes24,ebook_best,12,내면 근력,짐 머피 저/ 지여울 역,윌북(willbook),,9.4,,187571975,https://www.yes24.com/product/goods/187571975
2026-07-19,yes24,ebook_best,13,"사라지는 돈, 살아남는 돈, 불어나는 돈",김효진 저,페이지2북스,,9.8,,193187601,https://www.yes24.com/product/goods/193187601
2026-07-19,yes24,ebook_best,14,신 퇴마록 신세편 1,이우혁 저,반타,,8.9,,192498124,https://www.yes24.com/product/goods/192498124
2026-07-19,yes24,ebook_best,15,법학적성시험 문제 해설: LEET 언어이해 (2026학년도),법학전문대학원협의회 편,에피스테메,,10.0,,167801532,https://www.yes24.com/product/goods/167801532
2026-07-19,yes24,ebook_best,16,2026 스티마 면접 지방직(공통편),스티마 편저,(주)박영사,,10.0,,192552277,https://www.yes24.com/product/goods/192552277
2026-07-19,yes24,ebook_best,17,홍학의 자리,정해연 저,엘릭시르,,9.2,,102815837,https://www.yes24.com/product/goods/102815837
2026-07-19,yes24,ebook_best,18,2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),해커스 GSAT 취업교육연구소 저,해커스잡,,9.8,,173236210,https://www.yes24.com/product/goods/173236210
2026-07-19,yes24,ebook_best,19,노르웨이의 숲,무라카미 하루키 저/ 양억관 역,민음사,,9.2,,73782100,https://www.yes24.com/product/goods/73782100
2026-07-19,yes24,ebook_best,20,독하게 돈 공부,박소연 저,메이븐,,9.7,,193466947,https://www.yes24.com/product/goods/193466947
2026-07-19,yes24,ebook_best,21,완벽한 원시인,자청 저,필로틱,,9.3,,182798136,https://www.yes24.com/product/goods/182798136
2026-07-19,yes24,ebook_best,22,김재우의 기본 동사 100,김재우 저,상상스퀘어,,9.8,,168457435,https://www.yes24.com/product/goods/168457435
2026-07-19,yes24,ebook_best,23,괴테는 모든 것을 말했다,스즈키 유이 저/ 이지수 역,리프,,8.7,,166468148,https://www.yes24.com/product/goods/166468148
2026-07-19,yes24,ebook_best,24,신 퇴마록 신세편 3,이우혁 저,반타,,8.9,,192498123,https://www.yes24.com/product/goods/192498123
2026-07-19,yes24,ebook_best,25,신 퇴마록 신세편 2,이우혁 저,반타,,8.8,,192498122,https://www.yes24.com/product/goods/192498122
2026-07-19,yes24,ebook_best,26,데미안 - 세계문학전집 044,헤르만 헤세 저,민음사,,9.3,,7290386,https://www.yes24.com/product/goods/7290386
2026-07-19,yes24,ebook_best,27,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절 저/ 이지연 역,인플루엔셜,,9.4,,174055588,https://www.yes24.com/product/goods/174055588
2026-07-19,yes24,ebook_best,28,주식 투자를 잘한다는 것,육과장 저,노티스,,9.7,,188705156,https://www.yes24.com/product/goods/188705156
2026-07-19,yes24,ebook_best,29,2026 에듀윌 SKCT 통합 기본서,에듀윌 취업연구소 편저,에듀윌,,10.0,,182958763,https://www.yes24.com/product/goods/182958763
2026-07-19,yes24,ebook_best,30,혼모노,성해나 저,창비,,9.1,,176969550,https://www.yes24.com/product/goods/176969550
2026-07-19,yes24,ebook_best,31,일 마키아벨리,니콜로 마키아벨리 저,떠오름,,10.0,,193848200,https://www.yes24.com/product/goods/193848200
2026-07-19,yes24,ebook_best,32,브람스를 좋아하세요… - 세계문학전집 179,프랑수아즈 사강 저/ 김남주 역,민음사,,9.1,,61791527,https://www.yes24.com/product/goods/61791527
2026-07-19,yes24,ebook_best,33,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클 저/ 이시형 역,청아출판사,,9.5,,91182572,https://www.yes24.com/product/goods/91182572
2026-07-19,yes24,ebook_best,34,2026 하반기 시대에듀 HMAT 현대자동차그룹 인적성검사 통합기본서,SDC 편저,시대고시기획 시대교육,,10.0,,193590978,https://www.yes24.com/product/goods/193590978
2026-07-19,yes24,ebook_best,35,2026 시대에듀 현대자동차 모빌리티 생산직/기술인력 온라인 필기시험 통합기본서,SDC 편저,시대고시기획 시대교육,,9.8,,159277769,https://www.yes24.com/product/goods/159277769
2026-07-19,yes24,ebook_best,36,[세트] 눈물을 마시는 새 (총4권),이영도 저,황금가지,,10.0,,118841035,https://www.yes24.com/product/goods/118841035
2026-07-19,yes24,ebook_best,37,급류,정대건 저,민음사,,8.7,,118058461,https://www.yes24.com/product/goods/118058461
2026-07-19,yes24,ebook_best,38,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호 저,한빛미디어,,9.9,,189631226,https://www.yes24.com/product/goods/189631226
2026-07-19,yes24,ebook_best,39,참을 수 없는 존재의 가벼움,밀란 쿤데라 저/ 이재룡 역,민음사,,9.7,,185211849,https://www.yes24.com/product/goods/185211849
2026-07-19,yes24,ebook_best,40,이향인,라미 카민스키 저/ 최지숙 역,21세기북스,,9.7,,188936919,https://www.yes24.com/product/goods/188936919
2026-07-19,yes24,ebook_best,41,소년이 온다,한강 저,창비,,9.7,,176969335,https://www.yes24.com/product/goods/176969335
2026-07-19,yes24,ebook_best,42,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기,"벗알앤디(강윤석, 김용갑, 김우경, 김종일) 저",길벗,,9.8,,159173791,https://www.yes24.com/product/goods/159173791
2026-07-19,yes24,ebook_best,43,명상록,마르쿠스 아우렐리우스 저/ 박문재 역,현대지성,,9.6,,59935970,https://www.yes24.com/product/goods/59935970
2026-07-19,yes24,ebook_best,44,[epub3.0]일본어 일상표현 무작정 따라하기,진쌤 저,길벗이지톡,,10.0,,193347336,https://www.yes24.com/product/goods/193347336
2026-07-19,yes24,ebook_best,45,사랑의 기술,에리히 프롬 저/ 강주헌 역,문예출판사,,10.0,,192991625,https://www.yes24.com/product/goods/192991625
2026-07-19,yes24,ebook_best,46,EBS 라디오 입이 트이는 영어 2026년 7월호,이현석 저,동아출판,,10.0,,192669699,https://www.yes24.com/product/goods/192669699
2026-07-19,yes24,ebook_best,47,시간의 감촉,은희경 저,문학동네,,9.7,,192315654,https://www.yes24.com/product/goods/192315654
2026-07-19,yes24,ebook_best,48,하네스 엔지니어링 with 클로드 코드,황민호 저,한빛미디어,,9.4,,191882989,https://www.yes24.com/product/goods/191882989
2026-07-19,yes24,ebook_best,49,법학적성시험 문제 해설: LEET 언어이해 Ⅰ (2026-2022학년도),법학전문대학원협의회 편,에피스테메,,16,,167801536,https://www.yes24.com/product/goods/167801536
2026-07-19,yes24,ebook_best,50,[epub3.0] 일본어 무작정 따라하기 - 완전판,후지이 아사리 저,길벗이지톡,,9.6,,112323946,https://www.yes24.com/product/goods/112323946
2026-07-19,yes24,ebook_best,51,윗집 부부,황보름 저,클레이하우스,,9.8,,193852218,https://www.yes24.com/product/goods/193852218
2026-07-19,yes24,ebook_best,52,남겨진 습관,시케시케 저,포레스트 웨일,,10.0,,193827780,https://www.yes24.com/product/goods/193827780
2026-07-19,yes24,ebook_best,53,레바논의 시내,제시카 윤 저,규장,,10.0,,193592014,https://www.yes24.com/product/goods/193592014
2026-07-19,yes24,ebook_best,54,1020 극우가 온다,정민철 저,페이지2북스,,8.7,,185901499,https://www.yes24.com/product/goods/185901499
2026-07-19,yes24,ebook_best,55,자기 개발의 정석 - 오늘의 젊은 작가 10,임성순 저,민음사,,8.9,,27846316,https://www.yes24.com/product/goods/27846316
2026-07-19,yes24,ebook_best,56,생존 지능,로이드 블랭크파인 저/ 박선영 역,필름,,9.8,,193986432,https://www.yes24.com/product/goods/193986432
2026-07-19,yes24,ebook_best,57,영혼의 왈츠 1,베르나르 베르베르 저/ 전미연 역,열린책들,,9.6,,192976960,https://www.yes24.com/product/goods/192976960
2026-07-19,yes24,ebook_best,58,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",차진우 저,골든래빗 주식회사,,9.7,,191882970,https://www.yes24.com/product/goods/191882970
2026-07-19,yes24,ebook_best,59,"매일성경[개역개정] 2026년 7-8월호(시편 1-15편, 이사야 1-39장)",성서유니온 편집부,성서유니온,,10.0,,191190609,https://www.yes24.com/product/goods/191190609
2026-07-19,yes24,ebook_best,60,"AI, 신의 탄생 인간의 종말","엘리에저 유드코스키 , 네이트 소아레스 저/ 고영훈 역",상상스퀘어,,9.7,,184692277,https://www.yes24.com/product/goods/184692277
2026-07-19,yes24,ebook_best,61,부처님 말씀대로 살아보니,토니 페르난도 저/ 강정선 역,윌마,,9.4,,181177631,https://www.yes24.com/product/goods/181177631
2026-07-19,yes24,ebook_best,62,운명을 보는 기술,박성준 저,페이지2북스,,9.4,,164752354,https://www.yes24.com/product/goods/164752354
2026-07-19,yes24,ebook_best,63,박곰희 연금 부자 수업,박곰희 저,인플루엔셜,,9.7,,151368643,https://www.yes24.com/product/goods/151368643
2026-07-19,yes24,ebook_best,64,미움받을 용기 (200만 부 기념 스페셜 에디션),"기시미 이치로 , 고가 후미타케 저/ 전경아 역/ 김정운 감수",인플루엔셜,,9.2,,116890387,https://www.yes24.com/product/goods/116890387
2026-07-19,yes24,ebook_best,65,인간 실격 - 세계문학전집 103,다자이 오사무 저,민음사,,9.1,,7919874,https://www.yes24.com/product/goods/7919874
2026-07-19,yes24,ebook_best,66,이방인 - 세계문학전집 266,알베르 까뮈 저/ 김화영 역,민음사,,9.3,,7290412,https://www.yes24.com/product/goods/7290412
2026-07-19,yes24,ebook_best,67,꾸준함을 기르는 일,수풀림 저,다산북스,,9.6,,192991629,https://www.yes24.com/product/goods/192991629
2026-07-19,yes24,ebook_best,68,거의 모든 일상 표현의 일본어,"케빈 강 , TJL 콘텐츠 연구소 저",사람in,,9.0,,192677118,https://www.yes24.com/product/goods/192677118
2026-07-19,yes24,ebook_best,69,손절사회,이승연 저,어크로스,,9.1,,189110402,https://www.yes24.com/product/goods/189110402
2026-07-19,yes24,ebook_best,70,법학적성시험 문제 해설: LEET 추리논증 Ⅰ (2026-2022학년도),법학전문대학원협의회 편,에피스테메,,16,,167801534,https://www.yes24.com/product/goods/167801534
2026-07-19,yes24,ebook_best,71,불안,알랭 드 보통 저/ 정영목 역,은행나무,,9.0,,147275101,https://www.yes24.com/product/goods/147275101
2026-07-19,yes24,ebook_best,72,아주 작은 습관의 힘(50만 부 기념 스페셜 에디션),제임스 클리어 저/ 이한이 역,비즈니스북스,,9.4,,69754142,https://www.yes24.com/product/goods/69754142
2026-07-19,yes24,ebook_best,73,정의란 무엇인가,마이클 샌델 저,와이즈베리,,9.5,,15242400,https://www.yes24.com/product/goods/15242400
2026-07-19,yes24,ebook_best,74,달과 6펜스 - 세계문학전집 038,윌리엄 서머싯 몸 저,민음사,,9.4,,8585942,https://www.yes24.com/product/goods/8585942
2026-07-19,yes24,ebook_best,75,히스토리아 비테이,최재천 저,지식서재,,10.0,,192976280,https://www.yes24.com/product/goods/192976280
2026-07-19,yes24,ebook_best,76,사고외주,홍진기 저,어크로스,,10.0,,192877815,https://www.yes24.com/product/goods/192877815
2026-07-19,yes24,ebook_best,77,달러구트 꿈 백화점 0,이미예 저,팩토리나인,,9.8,,192681802,https://www.yes24.com/product/goods/192681802
2026-07-19,yes24,ebook_best,78,주식 투자의 그릇,후지모토 시게루 저/ 박선영 역,다산북스,,9.8,,192475565,https://www.yes24.com/product/goods/192475565
