date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-09-26,kyobo,ebook_best,1,새창보기 아이콘새창보기,,,,,,S000220308313,https://product.kyobobook.co.kr/detail/S000220308313
2026-09-26,kyobo,ebook_best,2,새창보기 아이콘새창보기,,,,,,S000221255753,https://product.kyobobook.co.kr/detail/S000221255753
2026-09-26,kyobo,ebook_best,3,새창보기 아이콘새창보기,,,,,,S000221075112,https://product.kyobobook.co.kr/detail/S000221075112
2026-09-26,kyobo,ebook_best,4,새창보기 아이콘새창보기,,,,,,S000221361394,https://product.kyobobook.co.kr/detail/S000221361394
2026-09-26,kyobo,ebook_best,5,새창보기 아이콘새창보기,,,,,,S000000620195,https://product.kyobobook.co.kr/detail/S000000620195
2026-09-26,kyobo,ebook_best,6,새창보기 아이콘새창보기,,,,,,S000221248222,https://product.kyobobook.co.kr/detail/S000221248222
2026-09-26,kyobo,ebook_best,7,새창보기 아이콘새창보기,,,,,,S000220693844,https://product.kyobobook.co.kr/detail/S000220693844
2026-09-26,kyobo,ebook_best,8,새창보기 아이콘새창보기,,,,,,S000220636999,https://product.kyobobook.co.kr/detail/S000220636999
2026-09-26,kyobo,ebook_best,9,새창보기 아이콘새창보기,,,,,,S000221437913,https://product.kyobobook.co.kr/detail/S000221437913
2026-09-26,kyobo,ebook_best,10,새창보기 아이콘새창보기,,,,,,S000212414274,https://product.kyobobook.co.kr/detail/S000212414274
2026-09-26,kyobo,ebook_best,11,새창보기 아이콘새창보기,,,,,,S000220587963,https://product.kyobobook.co.kr/detail/S000220587963
2026-09-26,kyobo,ebook_best,12,새창보기 아이콘새창보기,,,,,,S000001632467,https://product.kyobobook.co.kr/detail/S000001632467
2026-09-26,kyobo,ebook_best,13,새창보기 아이콘새창보기,,,,,,S000221062041,https://product.kyobobook.co.kr/detail/S000221062041
2026-09-26,kyobo,ebook_best,14,새창보기 아이콘새창보기,,,,,,S000211748790,https://product.kyobobook.co.kr/detail/S000211748790
2026-09-26,kyobo,ebook_best,15,새창보기 아이콘새창보기,,,,,,S000220789296,https://product.kyobobook.co.kr/detail/S000220789296
